MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"2-Cycle MPG_City","Truck","2014","-","-","0.5%","32.2%","44.3%","15.4%","7.4%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2015","-","-","0.2%","27.2%","44.4%","14.4%","13.5%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2016","-","-","0.0%","25.8%","43.7%","15.0%","14.6%","0.2%","0.2%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2017","-","-","0.1%","25.4%","46.2%","14.5%","11.0%","1.7%","0.4%","0.7%","-","-","-","-","-","-","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2018","-","-","0.1%","18.9%","46.1%","18.3%","12.6%","2.6%","0.4%","0.7%","0.0%","-","-","-","-","-","-","-","-","0.2%","-","-","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2019","-","-","0.0%","20.1%","43.6%","17.5%","14.2%","3.2%","0.3%","0.0%","0.0%","0.9%","-","-","-","-","0.0%","-","0.0%","-","0.1%","0.0%","0.0%","0.0%","-","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2020","-","-","0.0%","15.3%","42.0%","22.2%","13.6%","3.9%","0.3%","0.4%","0.0%","2.0%","-","-","-","-","0.0%","-","0.1%","-","0.0%","0.0%","0.0%","0.0%","-","0.0%","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Truck","2021","-","-","0.2%","16.3%","37.0%","19.7%","15.6%","4.9%","0.3%","2.2%","0.8%","2.4%","-","-","0.0%","-","0.0%","0.0%","0.2%","-","0.0%","0.1%","-","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1975","-","7.9%","56.1%","25.3%","8.6%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1976","-","1.4%","52.5%","32.2%","9.6%","3.9%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1977","-","0.7%","43.7%","38.1%","9.4%","6.2%","0.8%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1978","-","0.5%","34.7%","43.5%","12.5%","5.1%","2.7%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1979","-","1.6%","27.8%","46.6%","13.6%","8.6%","1.3%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1980","-","0.0%","9.6%","42.0%","31.7%","11.3%","3.7%","0.7%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1981","-","0.0%","4.5%","40.7%","27.0%","19.5%","5.3%","2.1%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1982","-","0.0%","4.0%","31.9%","31.1%","22.4%","8.0%","1.5%","0.7%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1983","-","0.0%","3.3%","37.4%","26.9%","19.8%","10.2%","1.9%","0.4%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1984","-","0.0%","4.0%","31.9%","31.3%","24.0%","6.0%","2.0%","0.6%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1985","-","0.0%","6.7%","31.8%","25.9%","27.4%","6.2%","1.1%","0.6%","0.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1986","-","0.0%","2.4%","28.3%","35.7%","23.9%","6.9%","1.3%","0.9%","0.3%","0.0%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1987","-","0.0%","3.5%","25.1%","34.5%","26.7%","8.5%","0.7%","0.7%","0.2%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1988","-","0.0%","4.0%","28.4%","29.9%","26.7%","8.4%","1.0%","1.3%","0.2%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1989","-","0.0%","4.6%","27.0%","36.4%","24.2%","5.9%","0.8%","0.8%","0.0%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1990","-","0.0%","5.1%","27.0%","39.8%","20.8%","6.2%","0.7%","0.1%","0.0%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1991","-","0.0%","3.5%","30.3%","36.8%","21.1%","6.4%","1.2%","0.2%","0.4%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1992","-","0.0%","4.0%","33.9%","39.6%","15.4%","4.9%","1.5%","0.2%","0.4%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1993","-","0.0%","3.9%","32.1%","37.9%","19.4%","5.0%","1.1%","0.1%","0.1%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1994","-","-","5.4%","33.3%","37.2%","18.3%","4.2%","0.9%","0.2%","0.1%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1995","-","0.0%","5.7%","34.5%","34.8%","17.5%","6.2%","0.8%","0.3%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1996","-","0.0%","6.0%","33.8%","37.4%","15.5%","6.2%","0.8%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1997","-","-","6.6%","35.6%","34.0%","16.5%","6.4%","0.8%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1998","-","-","7.7%","33.4%","34.2%","17.9%","6.0%","0.6%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","1999","-","0.0%","8.6%","34.3%","37.4%","14.1%","5.1%","0.3%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2000","-","0.0%","4.7%","36.6%","39.3%","14.4%","4.5%","0.2%","0.0%","0.1%","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2001","-","0.0%","5.7%","37.5%","36.4%","14.6%","4.5%","1.1%","0.0%","0.1%","-","0.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2002","-","-","3.3%","39.9%","35.5%","16.1%","4.4%","0.6%","0.0%","0.1%","-","0.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2003","-","0.0%","4.7%","36.9%","35.5%","16.9%","4.9%","0.6%","0.0%","0.1%","0.2%","0.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2004","-","-","4.7%","40.2%","34.5%","14.7%","4.9%","0.4%","0.1%","0.0%","0.1%","-","0.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2005","-","0.0%","2.5%","36.6%","36.1%","17.1%","6.1%","0.5%","0.1%","0.0%","0.2%","-","0.0%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2006","-","0.0%","1.7%","35.2%","38.4%","15.8%","7.1%","0.9%","0.0%","-","0.2%","-","0.0%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2007","-","-","1.6%","34.7%","32.4%","19.4%","8.5%","1.5%","0.5%","0.0%","0.2%","-","-","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2008","-","0.0%","1.4%","31.3%","35.5%","18.9%","9.3%","1.6%","0.4%","0.2%","0.2%","-","-","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2009","-","-","0.6%","21.4%","29.8%","29.1%","14.3%","2.7%","0.7%","0.2%","0.2%","-","-","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2010","-","0.0%","0.3%","23.4%","26.8%","27.9%","15.8%","2.1%","0.3%","0.3%","0.5%","0.3%","-","-","2.3%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2011","-","0.0%","0.5%","22.7%","31.0%","30.3%","10.3%","3.0%","0.2%","0.3%","0.1%","0.2%","-","-","1.1%","-","0.0%","-","-","-","0.0%","-","-","-","-","0.0%","-","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2012","-","0.0%","0.4%","17.0%","28.0%","28.1%","11.8%","11.4%","0.1%","0.3%","0.3%","0.9%","0.1%","-","1.3%","-","-","0.0%","0.1%","-","0.1%","-","0.0%","-","-","-","-","-","-","0.1%","0.0%","-","-","-","-","0.0%","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","All","2013","-","0.0%","0.4%","15.3%","25.0%","26.3%","15.1%","13.7%","0.5%","0.3%","0.1%","0.6%","0.6%","-","1.4%","-","-","0.0%","0.2%","-","-","-","0.3%","-","-","-","-","-","-","-","0.0%","-","-","0.0%","-","0.2%","0.0%","-","0.0%","-","-","-","-","-"
"2-Cycle MPG_City","All","2014","-","0.0%","0.2%","14.6%","27.7%","22.4%","20.1%","10.7%","1.1%","0.3%","0.2%","0.7%","0.3%","-","1.0%","-","0.0%","0.0%","0.2%","-","-","-","0.2%","0.0%","-","-","-","-","-","-","0.0%","-","-","0.1%","-","0.1%","0.0%","-","0.0%","-","-","-","-","-"
"2-Cycle MPG_City","All","2015","-","-","0.1%","13.1%","26.2%","21.5%","22.3%","11.9%","1.8%","0.4%","0.1%","0.6%","0.0%","0.0%","1.3%","-","-","-","0.1%","-","-","-","0.1%","0.0%","0.1%","0.0%","-","-","-","-","0.0%","-","-","0.1%","0.0%","0.2%","-","-","0.0%","-","-","-","-","-"
"2-Cycle MPG_City","All","2016","-","-","0.0%","12.7%","24.9%","21.2%","24.2%","12.1%","2.4%","0.3%","0.2%","0.6%","0.0%","0.0%","0.1%","0.5%","0.0%","-","0.1%","0.0%","-","-","0.0%","0.1%","0.0%","0.1%","0.0%","0.1%","-","-","0.0%","-","-","0.1%","0.1%","0.0%","-","-","0.0%","-","-","-","-","-"
"2-Cycle MPG_City","All","2017","-","-","0.0%","13.0%","26.3%","20.4%","19.8%","13.4%","3.4%","0.4%","0.3%","0.3%","0.4%","0.2%","0.2%","0.4%","0.0%","-","-","0.1%","0.1%","-","0.0%","0.1%","0.0%","0.1%","0.0%","0.2%","0.2%","-","0.0%","-","0.0%","0.0%","0.1%","0.2%","0.0%","-","-","-","-","-","-","0.0%"
"2-Cycle MPG_City","All","2018","-","-","0.1%","10.7%","28.1%","19.1%","19.7%","15.4%","2.9%","0.5%","0.2%","0.1%","0.5%","0.3%","0.1%","0.3%","0.0%","-","-","0.1%","0.0%","-","0.0%","0.1%","0.0%","0.1%","0.1%","0.3%","0.1%","-","0.0%","-","0.0%","0.4%","0.1%","0.2%","-","0.4%","-","-","-","-","-","0.0%"
"2-Cycle MPG_City","All","2019","-","-","0.1%","12.3%","27.6%","18.4%","17.8%","17.6%","2.2%","0.2%","0.1%","0.7%","0.5%","0.3%","0.2%","0.4%","0.0%","0.0%","0.0%","0.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.1%","0.0%","0.1%","0.1%","0.0%","-","0.0%","0.0%","0.3%","0.1%","0.1%","-","0.0%","0.0%","0.3%","-","-","-","0.0%"
"2-Cycle MPG_City","All","2020","-","-","0.0%","9.6%","25.8%","20.8%","16.8%","18.5%","3.2%","0.4%","0.0%","1.3%","0.4%","0.2%","0.2%","0.5%","0.0%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1%","0.0%","0.0%","0.2%","0.1%","-","0.2%","0.3%","-","0.4%","0.2%","-","-","0.0%","-","-","-","-","-"
"2-Cycle MPG_City","All","2021","-","0.0%","0.1%","11.1%","24.8%","18.8%","17.5%","15.9%","3.0%","1.4%","0.5%","1.7%","0.4%","0.3%","0.2%","0.5%","0.1%","0.0%","0.1%","0.0%","0.0%","0.1%","0.1%","0.0%","0.2%","0.1%","0.2%","0.2%","0.3%","0.1%","0.1%","0.2%","0.5%","-","0.1%","0.1%","0.3%","0.6%","0.1%","0.4%","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1975","-","-","9.1%","53.2%","15.2%","10.5%","7.5%","2.5%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1976","-","-","0.8%","40.9%","34.9%","6.4%","10.7%","3.8%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1977","-","-","0.1%","31.9%","41.8%","9.3%","5.9%","5.3%","3.6%","1.3%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1978","-","-","0.2%","14.1%","45.0%","19.0%","10.2%","5.4%","4.1%","1.8%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1979","-","-","0.1%","12.3%","46.0%","17.6%","12.2%","8.1%","2.9%","0.6%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1980","-","-","0.0%","1.0%","17.9%","33.7%","27.2%","12.0%","6.3%","0.7%","1.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1981","-","-","0.0%","0.0%","11.0%","33.3%","25.6%","15.6%","9.9%","2.7%","0.5%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1982","-","-","0.0%","0.0%","6.8%","25.6%","22.1%","28.8%","9.6%","4.7%","1.5%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1983","-","-","0.0%","0.0%","5.3%","36.2%","18.8%","18.5%","13.1%","5.5%","2.0%","0.4%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1984","-","-","0.0%","0.1%","2.4%","29.1%","25.7%","23.5%","12.7%","3.3%","2.0%","1.0%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1985","-","-","0.0%","0.0%","0.8%","20.7%","32.7%","22.4%","14.8%","5.7%","1.7%","0.8%","0.0%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1986","-","-","0.0%","0.0%","0.7%","13.2%","28.3%","37.7%","13.0%","3.3%","2.7%","0.2%","0.3%","-","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1987","-","-","0.0%","0.0%","0.7%","10.5%","32.4%","35.4%","14.0%","5.2%","1.1%","0.2%","0.3%","-","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1988","-","-","0.0%","0.0%","0.7%","8.4%","26.1%","41.8%","15.5%","4.6%","2.5%","-","0.2%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1989","-","-","0.0%","0.0%","0.6%","5.1%","30.4%","44.0%","12.9%","4.8%","1.7%","0.0%","0.1%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1990","-","-","0.0%","0.0%","0.5%","7.9%","30.5%","45.3%","10.4%","4.2%","0.7%","0.1%","0.2%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1991","-","-","0.0%","0.0%","0.8%","5.0%","34.2%","37.1%","15.7%","5.5%","0.9%","0.2%","0.6%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1992","-","-","0.0%","0.0%","0.8%","4.4%","35.8%","39.8%","10.5%","6.0%","1.6%","0.3%","0.5%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1993","-","-","0.0%","0.0%","1.5%","6.0%","27.9%","40.0%","16.2%","5.9%","1.6%","0.2%","0.5%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1994","-","-","-","0.0%","0.8%","4.3%","28.7%","41.7%","13.5%","8.5%","1.5%","0.2%","0.5%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1995","-","-","0.0%","0.0%","0.6%","2.4%","21.3%","50.5%","14.8%","8.2%","1.5%","0.3%","0.3%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1996","-","-","-","0.0%","0.4%","3.0%","29.1%","45.2%","12.1%","7.7%","2.0%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1997","-","-","-","0.0%","0.4%","2.6%","26.3%","43.8%","19.0%","6.3%","1.1%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1998","-","-","-","0.0%","0.1%","5.3%","16.1%","50.8%","17.3%","9.4%","0.6%","0.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","1999","-","-","-","0.0%","0.0%","5.1%","17.6%","56.4%","14.1%","5.9%","0.6%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2000","-","-","-","0.0%","0.7%","5.9%","17.9%","55.0%","15.7%","4.0%","0.5%","0.1%","0.1%","-","-","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2001","-","-","-","0.0%","0.6%","6.0%","27.3%","40.3%","16.0%","6.6%","2.8%","0.3%","0.1%","-","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2002","-","-","-","0.0%","0.6%","4.1%","22.6%","43.9%","19.4%","6.7%","2.0%","0.5%","0.2%","-","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2003","-","-","-","0.0%","0.1%","3.9%","23.1%","38.2%","25.3%","7.8%","0.7%","0.3%","0.6%","-","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2004","-","-","-","0.0%","0.1%","5.1%","22.5%","39.5%","23.3%","8.0%","0.4%","0.2%","0.9%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2005","-","-","-","0.0%","0.1%","3.2%","23.1%","33.0%","29.7%","8.5%","0.5%","0.2%","1.7%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2006","-","-","-","0.0%","0.3%","3.1%","23.9%","37.3%","24.4%","5.9%","3.6%","0.0%","1.4%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2007","-","-","-","0.0%","0.2%","2.4%","21.6%","32.8%","26.6%","10.9%","3.3%","-","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2008","-","-","-","0.0%","0.2%","2.4%","18.7%","33.4%","26.4%","12.4%","3.7%","0.3%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2009","-","-","-","0.0%","0.1%","1.8%","12.0%","25.9%","33.0%","20.8%","4.0%","0.8%","1.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2010","-","-","-","0.0%","0.1%","0.7%","14.3%","20.5%","24.0%","29.8%","5.4%","0.9%","0.7%","3.6%","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2011","-","-","-","-","0.1%","0.7%","9.9%","25.1%","21.0%","31.3%","6.8%","2.6%","0.4%","1.9%","-","0.1%","-","0.0%","-","-","-","-","0.0%","-","-","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2012","-","-","-","0.0%","0.1%","0.5%","6.5%","16.5%","20.5%","31.1%","13.5%","8.4%","0.3%","2.1%","0.2%","0.2%","-","-","0.0%","0.0%","-","0.0%","0.0%","-","-","0.1%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
